rch_site,scenario,dx,dy,Transient,Stationary
5,46,25.0,-25.0,3400438.232421875,5651639.404296875
5,47,25.0,-25.0,3700793.45703125,6802841.796875
5,48,25.0,-25.0,222354.35485839844,1191087.7227783203
5,49,25.0,-25.0,1266513.5192871094,2851582.3364257812
5,4,25.0,-25.0,140208.9500427246,214790.05813598633
5,50,25.0,-25.0,1070976.333618164,2514200.897216797
5,51,25.0,-25.0,578510.4370117188,1440499.1149902344
5,52,25.0,-25.0,516206.1309814453,1012873.9166259766
5,53,25.0,-25.0,967156.4483642578,1735078.8879394531
5,54,25.0,-25.0,2254898.8342285156,3562536.62109375
5,55,25.0,-25.0,180799.17907714844,316336.9369506836
5,56,25.0,-25.0,85924.29161071777,124535.3889465332
5,57,25.0,-25.0,2800420.2270507812,5217579.9560546875
5,58,25.0,-25.0,1848866.2719726562,3633007.5073242188
5,59,25.0,-25.0,1331001.1291503906,3155208.740234375
5,5,25.0,-25.0,456783.0276489258,779045.3338623047
5,60,25.0,-25.0,2081106.5673828125,4739169.006347656
5,61,25.0,-25.0,2135431.2133789062,3716153.8696289062
5,62,25.0,-25.0,2385998.2299804688,3907619.62890625
5,63,25.0,-25.0,667732.0098876953,1334716.1865234375
5,64,25.0,-25.0,114351.98783874512,256957.0541381836
5,65,25.0,-25.0,1875494.2321777344,3195051.5747070312
5,66,25.0,-25.0,2185124.969482422,3731448.3642578125
5,67,25.0,-25.0,574092.4453735352,1177554.0924072266
5,68,25.0,-25.0,1244270.8587646484,1991228.3325195312
5,69,25.0,-25.0,269101.20010375977,388665.46630859375
5,6,25.0,-25.0,771761.6271972656,1334499.6643066406
5,70,25.0,-25.0,4129865.72265625,5293921.5087890625
5,71,25.0,-25.0,118703.05061340332,320919.0368652344
5,72,25.0,-25.0,2214541.6259765625,4028771.6674804688
5,73,25.0,-25.0,1649053.6499023438,3078963.9282226562
5,74,25.0,-25.0,421480.67474365234,781010.1318359375
5,75,25.0,-25.0,1649321.4416503906,2647695.9228515625
5,76,25.0,-25.0,1064794.5404052734,1879568.1762695312
5,77,25.0,-25.0,590129.4326782227,1222661.2854003906
5,78,25.0,-25.0,226621.05560302734,569621.2005615234
5,79,25.0,-25.0,1786496.8872070312,3004925.8422851562
5,7,25.0,-25.0,403212.8143310547,755403.3660888672
5,80,25.0,-25.0,1804507.5988769531,2661462.7075195312
5,81,25.0,-25.0,251452.57949829102,466169.8913574219
5,82,25.0,-25.0,1949929.9621582031,3715166.3208007812
5,83,25.0,-25.0,2200378.5705566406,3971619.5678710938
5,84,25.0,-25.0,2713471.9848632812,4456329.9560546875
5,85,25.0,-25.0,2437380.0659179688,4021648.2543945312
5,86,25.0,-25.0,549760.3607177734,1092095.947265625
5,87,25.0,-25.0,1259616.0125732422,2146670.2270507812
5,88,25.0,-25.0,1017802.8106689453,1643927.4597167969
5,89,25.0,-25.0,192932.68203735352,330570.79315185547
5,8,25.0,-25.0,3322548.5229492188,5932448.73046875
5,90,25.0,-25.0,567756.9198608398,986645.5841064453
5,91,25.0,-25.0,1514529.2663574219,2198313.5986328125
5,92,25.0,-25.0,781913.8336181641,1214850.9979248047
5,93,25.0,-25.0,111289.84451293945,288141.8037414551
5,94,25.0,-25.0,2187353.6682128906,3885983.5815429688
5,95,25.0,-25.0,2860066.8334960938,4483625.793457031
5,96,25.0,-25.0,2000420.0744628906,3613469.8486328125
5,97,25.0,-25.0,1106102.294921875,1960458.6791992188
5,98,25.0,-25.0,1610785.8276367188,2651542.96875
5,99,25.0,-25.0,530201.9882202148,1027565.7653808594
5,9,25.0,-25.0,5280512.6953125,7769027.7099609375
2,100,25.0,-25.0,1097402.8015136719,1871760.8642578125
2,101,25.0,-25.0,693462.9821777344,1256946.1059570312
2,102,25.0,-25.0,878836.669921875,1427878.1127929688
2,103,25.0,-25.0,305725.4219055176,517359.0850830078
