time,rch_site,scenario,dx,dy,total,total_water,maximum,area
2011-10-01,5,68,25,-25,333419.952392578,60898.6616134644,0.84875107,1408125
2011-10-01,5,69,25,-25,120199.012756348,17059.1282844543,0.61953926,616250
2011-10-01,5,6,25,-25,186754.779815674,26000.5354881287,0.21014977,2121250
2011-10-01,5,70,25,-25,824645.080566406,146284.027099609,1.1209965,1678750
2011-10-01,5,71,25,-25,24734.9119186401,2973.61880540848,0.2913437,271250
2011-10-01,5,72,25,-25,594778.175354004,67722.5732803345,1.005991,1756250
2011-10-01,5,73,25,-25,434841.30859375,63121.80519104,0.38554192,4892500
2011-10-01,5,74,25,-25,107159.090042114,15410.0120067596,0.24289322,2066875
2011-10-01,5,75,25,-25,712947.769165039,92159.4715118408,0.6705208,5171875
2011-10-01,5,76,25,-25,344495.887756348,44716.7921066284,0.31569672,4101875
2011-10-01,5,77,25,-25,158683.242797852,20887.4225616455,0.30986023,2581875
2011-10-01,5,78,25,-25,44401.7791748047,6561.68758869171,0.10498428,1288750
2011-10-01,5,79,25,-25,618579.521179199,91588.3159637451,0.72875404,3873125
2011-10-01,5,7,25,-25,76429.6245574951,12789.2804145813,0.26221275,925625
2011-10-01,5,80,25,-25,685696.487426758,107123.193740845,0.89798737,2867500
